ClusterName,Distances,Distance Lower Bound,Distance Upper Bound
X114.5-Y16.0-N72,1775.100503,1384.578392,2289.879649
X118.5-Y72.2-N117,869.9150452,678.5337353,1122.190408
X135.5-Y155.0-N65,2163.000059,1687.140046,2790.270076
X150.0-Y92.5-N90,852.6187851,665.0426524,1099.878233
X161.3-Y106.0-N114,1655.986141,1291.66919,2136.222122
X162.5-Y62.0-N111,452.9502466,353.3011923,584.3058181
X18.2-Y36.5-N100,1647.848568,1285.321883,2125.724653
X187.0-Y122.0-N89,193.2036968,150.6988835,249.2327689
X202.5-Y140.0-N128,266.4925553,207.8641931,343.7753963
X211.4-Y143.3-N132,1012.153548,789.4797674,1305.678077
X220.0-Y95.0-N128,173.2273789,135.1173555,223.4633188
X226.0-Y44.5-N71,3058.562187,2385.678506,3945.545221
X231.0-Y147.8-N106,533.5326045,416.1554315,688.2570598
X236.0-Y51.0-N105,416.0613687,324.5278676,536.7191656
X245.0-Y85.0-N141,693.4356145,540.8797793,894.5319427
X246.6-Y106.5-N96,1911.537322,1490.999111,2465.883145
X247.5-Y98.5-N73,197.788372,154.2749302,255.1469999
X250.8-Y94.0-N116,751.8909246,586.4749212,969.9392927
X258.0-Y155.0-N132,195.0525781,152.1410109,251.6178257
X26.0-Y96.0-N98,1081.043604,843.2140111,1394.546249
X261.0-Y127.0-N67,2187.147652,1705.975169,2821.420471
X261.5-Y91.5-N121,239.7142576,186.9771209,309.2313923
X262.0-Y78.0-N166,247.8158693,193.2963781,319.6824714
X265.0-Y26.7-N90,523.6687979,408.4616624,675.5327493
X272.0-Y56.5-N97,1942.537246,1515.179052,2505.873047
X275.0-Y115.0-N80,254.9837977,198.8873622,328.929099
X276.4-Y88.8-N96,802.1797504,625.7002053,1034.811878
X276.5-Y43.0-N64,825.9511609,644.2419055,1065.476998
X277.6-Y98.5-N102,317.937755,247.9914489,410.139704
X279.0-Y120.0-N85,746.7561955,582.4698325,963.3154922
X284.4-Y134.0-N76,1856.04867,1447.717963,2394.302784
X291.5-Y151.5-N111,646.8273723,504.5253504,834.4073103
X292.5-Y100.0-N159,635.14454,495.4127412,819.3364566
X294.5-Y55.0-N155,203.0680705,158.393095,261.9578109
X297.5-Y43.5-N80,263.4698577,205.506489,339.8761164
X3.5-Y106.5-N37,930.3415032,725.6663725,1200.140539
X30.9-Y114.0-N96,1854.895487,1446.81848,2392.815178
X309.0-Y41.2-N99,2090.127387,1630.299362,2696.264329
X310.0-Y125.0-N141,962.3116195,750.6030632,1241.381989
X326.5-Y15.5-N120,1443.083843,1125.605398,1861.578157
X328.5-Y26.0-N68,685.8283321,534.946099,884.7185484
X330.0-Y90.5-N127,1796.692442,1401.420105,2317.73325
X342.5-Y56.0-N147,518.5597119,404.4765753,668.9420284
X346.5-Y63.6-N107,740.5795162,577.6520226,955.3475759
X351.5-Y50.3-N82,726.3362726,566.5422926,936.9737917
X352.8-Y124.0-N103,641.0824803,500.0443346,826.9963996
X354.0-Y20.8-N65,4326.000119,3374.280093,5580.540154
X358.0-Y51.0-N93,2129.103528,1660.700752,2746.543551
X43.5-Y38.5-N98,1840.097066,1435.275711,2373.725215
X75.0-Y2.0-N114,1454.058023,1134.165258,1875.73485
X76.0-Y34.0-N113,501.7888908,391.3953348,647.3076691
X90.0-Y19.5-N85,508.7746871,396.8442559,656.3193464
